Policy,Mean AoII,Std,Gap (%),Mean Δ,Δ P90,Time (s)
Whittle,25.4335,0.5995,—,39.5,98.3,135.3
MaxAge,31.1142,0.8109,+22.3,37.8,67.4,19.6
Myopic,26.0521,0.5503,+2.4,40.7,100.0,67.5
WorstState,75.4031,0.5890,+196.5,85.4,100.0,20.7
Random,42.9089,0.9844,+68.7,52.6,100.0,19.8
