N,M,policy,mean_aoii,std_aoii,mean_delta
100,1,Whittle,42.690197999999995,0.44184318939642037,70.967736
100,1,MaxAge,62.572509000000004,1.471589987078262,75.66079800000001
100,1,Myopic,49.739834,0.5822099308702999,70.873629
100,1,WorstState,83.84174900000001,0.5757066560575761,94.994747
100,1,Random,64.618169,1.8362193659987922,78.20509600000001
100,2,Whittle,32.827818,0.493016828369985,52.358782999999995
100,2,MaxAge,45.074944,0.6879105582879226,54.85715700000001
100,2,Myopic,35.609321,0.8822513879552699,52.595282
100,2,WorstState,79.471814,0.807760082923143,90.101146
100,2,Random,52.06517799999999,1.1046176850096134,63.336481000000006
100,3,Whittle,25.433531000000006,0.5995356307418265,39.457897
100,3,MaxAge,31.114235,0.8108879985947501,37.817672
100,3,Myopic,26.052137000000005,0.5503210383049152,40.701882999999995
100,3,WorstState,75.403074,0.5890279158274226,85.42504699999999
100,3,Random,42.908854,0.9843809579649531,52.612315
100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
100,5,Myopic,17.042891,0.5721729742036066,25.179638
100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
100,5,Random,31.176560000000002,0.7977178370827618,38.212846
100,10,Whittle,7.878184,0.23922944869727014,12.121008
100,10,MaxAge,9.007216,0.28247474910865905,11.584065
100,10,Myopic,8.326321,0.2688634543202183,12.446927999999998
100,10,WorstState,52.33740400000001,0.8252781767525419,59.509297000000004
100,10,Random,17.336095,0.4855694216329937,21.537329999999997
