p_s,N,M,policy,mean_aoii,std_aoii,mean_delta
0.5,100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
0.5,100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
0.5,100,5,Myopic,17.042891,0.5721729742036066,25.179638
0.5,100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
0.5,100,5,Random,31.176560000000002,0.7977178370827618,38.212846
0.7,100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
0.7,100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
0.7,100,5,Myopic,17.042891,0.5721729742036066,25.179638
0.7,100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
0.7,100,5,Random,31.176560000000002,0.7977178370827618,38.212846
0.85,100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
0.85,100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
0.85,100,5,Myopic,17.042891,0.5721729742036066,25.179638
0.85,100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
0.85,100,5,Random,31.176560000000002,0.7977178370827618,38.212846
0.95,100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
0.95,100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
0.95,100,5,Myopic,17.042891,0.5721729742036066,25.179638
0.95,100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
0.95,100,5,Random,31.176560000000002,0.7977178370827618,38.212846
0.996,100,5,Whittle,16.071874,0.40216376167427087,23.753307999999997
0.996,100,5,MaxAge,18.604643000000003,0.5197098912672345,22.761697
0.996,100,5,Myopic,17.042891,0.5721729742036066,25.179638
0.996,100,5,WorstState,67.50287699999998,0.9110598968130454,76.644674
0.996,100,5,Random,31.176560000000002,0.7977178370827618,38.212846
