eta,q_err,seed,mean_aoii
0.0,0.0,42,9.914159999999999
0.0,0.0,43,11.01
0.0,0.0,44,9.005759999999999
1.0,0.0002581988897471611,42,4.1425600000000005
1.0,0.0002581988897471611,43,3.8839200000000003
1.0,0.0002581988897471611,44,4.12808
2.0,0.0005163977794943222,42,4.1384799999999995
2.0,0.0005163977794943222,43,3.99088
2.0,0.0005163977794943222,44,3.902
