Policy,Mean AoII,Std,Gap (%),Mean Δ,Δ P90,Time (s)
Whittle,47.0500,1.0450,—,38.5,92.6,97.7
MaxAge,55.9634,1.5882,+18.9,37.6,67.3,19.4
Myopic,47.8175,1.1394,+1.6,39.2,100.0,67.8
WorstState,255.5842,2.0824,+443.2,94.9,100.0,21.4
Random,79.9545,2.9797,+69.9,52.6,100.0,20.1
