name,J,valid,issues,diagonal,diagonal_mean,lower_tri_sum,distance_to_sati,distance_to_abaza,closest_reference,epoch_months,P_monthly_diagonal,P_annual_diagonal,ltpp_annual_diagonal,annual_diag_diff_to_ltpp,expected_state_after_1year,expected_lifetime_years,lifetime_reasonable,annual_alignment
slow,5,True,[],"[0.9922442894495707, 0.9922442894495707, 0.9922442894495707, 0.9922442894495707, 1.0]",0.9922442894495707,0.0,0.5283412167379181,0.3793117568803182,Abaza2021,1,"[0.9922442894495707, 0.9922442894495707, 0.9922442894495707, 0.9922442894495707, 1.0]","[0.9108005782961625, 0.9108005782961625, 0.9108005782961625, 0.9108005782961625, 1.0]","[0.85, 0.82, 0.78, 0.75, 1.0]",0.08864046263692997,0.11339599389947908,37.20260454414511,True,excellent
fast,5,True,[],"[0.9836254876579336, 0.9836254876579336, 0.9836254876579336, 0.9836254876579336, 1.0]",0.9836254876579336,0.0,0.5058795523909174,0.35730187969280525,Abaza2021,1,"[0.9836254876579336, 0.9836254876579336, 0.9836254876579336, 0.9836254876579336, 1.0]","[0.8202708599862449, 0.8202708599862449, 0.8202708599862449, 0.8202708599862449, 1.0]","[0.85, 0.82, 0.78, 0.75, 1.0]",0.028108343994497974,0.2403705821910384,17.547312866796023,True,excellent
